Country,Date,int_perc,electricity_consumed,energy_consumed,population,GDP,continent,country_name
AUS,2007,69.45,214.77298,271.038671418751,20877.3,908.464,Oceania,Australia
AUS,2008,71.67,214.63906,263.6016456886497,21303.9,932.709,Oceania,Australia
AUS,2009,74.25,220.032,264.5702268369364,21730.75,950.22,Oceania,Australia
AUS,2010,76.0,222.36042,254.84145490731922,22065.65,972.658,Oceania,Australia
AUS,2011,79.4876977139029,223.43702,255.07823836961435,22387.15,1000.344,Oceania,Australia
AUS,2012,79.0,222.72246,253.7041743281842,22780.32,1038.31,Oceania,Australia
AUS,2013,83.0,222.68834,249.3606294108639,23168.3,1060.463,Oceania,Australia
AUS,2014,84.56,223.48564,243.4459684785225,23514.83,1087.732,Oceania,Australia
AUT,1990,0.130369376859149,44.305,150.9058582331107,7686.107,268.6745,Europe,Austria
AUT,1991,0.259081553302726,47.242,157.2248035427074,7765.895,277.5955,Europe,Austria
AUT,1992,0.642817618756698,47.107,152.22826268173088,7851.16,283.0232,Europe,Austria
AUT,1993,0.765342730041297,46.183,154.24389770482037,7911.413,285.31,Europe,Austria
AUT,1994,1.3934229675881,46.871,153.16620293014745,7937.96,292.2751,Europe,Austria
AUT,1995,1.89021052408733,47.945,160.14153004363993,7949.475,302.0085,Europe,Austria
AUT,1996,6.90916235325567,49.725,167.0244425804971,7960.505,308.9685,Europe,Austria
AUT,1997,9.53397431748034,50.322,166.91046096166338,7968.811,315.8081,Europe,Austria
AUT,1998,15.4212193219603,51.118,169.73629862091371,7978.205,326.7297,Europe,Austria
AUT,1999,23.0443171023274,52.336,171.41322490416758,7994.788,337.7718,Europe,Austria
AUT,2000,33.7301329516915,53.33642,169.58241249236883,8013.915,350.2023,Europe,Austria
AUT,2001,39.1854501811114,55.44718,176.91202682195905,8047.63,354.5009,Europe,Austria
AUT,2002,36.56,55.9188,175.97711657789006,8086.537,360.6357,Europe,Austria
AUT,2003,42.7,57.81084,178.00981293418107,8126.71,364.2002,Europe,Austria
AUT,2004,54.28,58.96108,183.21910795775602,8179.315,373.2541,Europe,Austria
AUT,2005,58.0,60.53582,188.80847137367522,8234.445,382.3003,Europe,Austria
AUT,2006,63.6,62.95448,186.8609082523438,8272.225,395.9394,Europe,Austria
AUT,2007,69.37,63.31914,182.95038713778516,8298.615,410.583,Europe,Austria
AUT,2008,72.87,63.38922,182.64641570490164,8324.873,416.721,Europe,Austria
AUT,2009,73.45,60.795,174.33300210683586,8345.4,401.0261,Europe,Austria
AUT,2010,75.17,62.13126,178.39476280725967,8366.34,407.943,Europe,Austria
AUT,2011,78.7399930986888,62.52672,169.539205162558,8395.76,420.655,Europe,Austria
AUT,2012,80.0299939169903,63.30312,173.77495519899733,8435.458,423.777,Europe,Austria
AUT,2013,80.6188,63.71828,173.64688596381973,8486.812,423.633,Europe,Austria
AUT,2014,81.0,62.84138,166.43368095573078,8556.0,427.075,Europe,Austria
AZE,1992,0.0,15.248,132.6535300467512,7471.92,42.9013,Europe,Azerbaijan
AZE,1993,0.0,14.334,111.29245988322641,7581.75,32.991,Europe,Azerbaijan
AZE,1994,0.00143141529756131,14.594,98.8233556909528,7683.7,26.5066,Europe,Azerbaijan
AZE,1995,0.0020555557625386,13.724,93.63909769051702,7775.42,23.3789,Europe,Azerbaijan
AZE,1996,0.00635458454679421,13.614,81.88432172369964,7855.56,23.6828,Europe,Azerbaijan
AZE,1997,0.0251879334685925,14.12,80.5439471598865,7925.67,25.0564,Europe,Azerbaijan
AZE,1998,0.0374851090404337,14.76,68.39851667274552,7989.9,27.562,Europe,Azerbaijan
AZE,1999,0.0992289415099966,15.118,69.98863337530318,8054.13,29.6016,Europe,Azerbaijan
AZE,2000,0.147757575623251,15.4061,62.46888898301137,8122.74,32.8874,Europe,Azerbaijan
AZE,2001,0.305564637615618,15.56992,54.36452193302702,8197.29,36.1432,Europe,Azerbaijan
AZE,2002,4.99971367812957,16.13262,64.25672548448446,8277.07,39.5168,Europe,Azerbaijan
AZE,2003,4.99971367812957,18.30104,67.8708051646364,8361.43,43.5338,Europe,Azerbaijan
AZE,2004,4.99971367812957,19.08472,74.09466263921007,8448.94,47.5702,Europe,Azerbaijan
AZE,2005,8.03037535616454,17.26646,75.90936266195146,8538.61,60.6299,Europe,Azerbaijan
AZE,2006,11.9921773343674,19.43242,76.10941937787446,8630.15,81.57,Europe,Azerbaijan
